Province_Raw,ImmCategory,REF_DATE,Year,YearQtr,Admissions,Geo_Level
Nova Scotia - Total,Skilled Worker,2015-Q1,2015,2015-Q1,20.0,Provincial
Nova Scotia - Total,Self-Employed,2015-Q1,2015,2015-Q1,0.0,Provincial
Nova Scotia - Total,Start-up Business,2015-Q1,2015,2015-Q1,0.0,Provincial
Nova Scotia - Total,Provincial Nominee Program,2015-Q1,2015,2015-Q1,380.0,Provincial
Nova Scotia - Total,Temporary Resident to Permanent Resident Pathway,2015-Q1,2015,2015-Q1,0.0,Provincial
Nova Scotia - Total,Sponsored Children,2015-Q1,2015,2015-Q1,,Provincial
Nova Scotia - Total,Sponsored Extended Family Member,2015-Q1,2015,2015-Q1,0.0,Provincial
Nova Scotia - Total,Sponsored Parent or Grandparent,2015-Q1,2015,2015-Q1,,Provincial
Nova Scotia - Total,Sponsored Spouse or Partner,2015-Q1,2015,2015-Q1,45.0,Provincial
Nova Scotia - Total,Blended Sponsorship Refugee,2015-Q1,2015,2015-Q1,0.0,Provincial
Nova Scotia - Total,Government-Assisted Refugee,2015-Q1,2015,2015-Q1,120.0,Provincial
Nova Scotia - Total,Privately Sponsored Refugee,2015-Q1,2015,2015-Q1,0.0,Provincial
New Brunswick - Total,Canadian Experience,2015-Q1,2015,2015-Q1,0.0,Provincial
New Brunswick - Total,Caregiver,2015-Q1,2015,2015-Q1,200.0,Provincial
New Brunswick - Total,Skilled Worker,2015-Q1,2015,2015-Q1,4260.0,Provincial
New Brunswick - Total,Entrepreneur,2015-Q1,2015,2015-Q1,45.0,Provincial
New Brunswick - Total,Investor,2015-Q1,2015,2015-Q1,1535.0,Provincial
New Brunswick - Total,Self-Employed,2015-Q1,2015,2015-Q1,10.0,Provincial
New Brunswick - Total,Provincial Nominee Program,2015-Q1,2015,2015-Q1,0.0,Provincial
New Brunswick - Total,Sponsored Children,2015-Q1,2015,2015-Q1,110.0,Provincial
New Brunswick - Total,Sponsored Extended Family Member,2015-Q1,2015,2015-Q1,10.0,Provincial
New Brunswick - Total,Sponsored Parent or Grandparent,2015-Q1,2015,2015-Q1,185.0,Provincial
New Brunswick - Total,Sponsored Spouse or Partner,2015-Q1,2015,2015-Q1,1675.0,Provincial
New Brunswick - Total,Blended Sponsorship Refugee,2015-Q1,2015,2015-Q1,0.0,Provincial
New Brunswick - Total,Government-Assisted Refugee,2015-Q1,2015,2015-Q1,240.0,Provincial
New Brunswick - Total,Privately Sponsored Refugee,2015-Q1,2015,2015-Q1,340.0,Provincial
Quebec - Total,Agri-Food Pilot,2015-Q1,2015,2015-Q1,0.0,Provincial
Quebec - Total,Canadian Experience,2015-Q1,2015,2015-Q1,1905.0,Provincial
Quebec - Total,Caregiver,2015-Q1,2015,2015-Q1,3270.0,Provincial
Quebec - Total,Federal Economic Mobility Pathways Pilot,2015-Q1,2015,2015-Q1,0.0,Provincial
Quebec - Total,Rural and Northern Immigration,2015-Q1,2015,2015-Q1,0.0,Provincial
Quebec - Total,Skilled Trade,2015-Q1,2015,2015-Q1,20.0,Provincial
Quebec - Total,Skilled Worker,2015-Q1,2015,2015-Q1,4425.0,Provincial
Quebec - Total,Entrepreneur,2015-Q1,2015,2015-Q1,30.0,Provincial
Quebec - Total,Investor,2015-Q1,2015,2015-Q1,55.0,Provincial
Quebec - Total,Self-Employed,2015-Q1,2015,2015-Q1,50.0,Provincial
Quebec - Total,Start-up Business,2015-Q1,2015,2015-Q1,,Provincial
Quebec - Total,Provincial Nominee Program,2015-Q1,2015,2015-Q1,725.0,Provincial
Quebec - Total,Temporary Resident to Permanent Resident Pathway,2015-Q1,2015,2015-Q1,0.0,Provincial
Quebec - Total,Sponsored Children,2015-Q1,2015,2015-Q1,335.0,Provincial
Quebec - Total,Sponsored Extended Family Member,2015-Q1,2015,2015-Q1,35.0,Provincial
Quebec - Total,Sponsored Parent or Grandparent,2015-Q1,2015,2015-Q1,1345.0,Provincial
Quebec - Total,Sponsored Spouse or Partner,2015-Q1,2015,2015-Q1,4490.0,Provincial
Quebec - Total,Blended Sponsorship Refugee,2015-Q1,2015,2015-Q1,5.0,Provincial
Quebec - Total,Government-Assisted Refugee,2015-Q1,2015,2015-Q1,445.0,Provincial
Quebec - Total,Privately Sponsored Refugee,2015-Q1,2015,2015-Q1,350.0,Provincial
Ontario - Total,Agri-Food Pilot,2015-Q1,2015,2015-Q1,0.0,Provincial
Ontario - Total,Canadian Experience,2015-Q1,2015,2015-Q1,15.0,Provincial
Ontario - Total,Caregiver,2015-Q1,2015,2015-Q1,40.0,Provincial
Ontario - Total,Federal Economic Mobility Pathways Pilot,2015-Q1,2015,2015-Q1,0.0,Provincial
Ontario - Total,Rural and Northern Immigration,2015-Q1,2015,2015-Q1,0.0,Provincial
Ontario - Total,Skilled Trade,2015-Q1,2015,2015-Q1,0.0,Provincial
Ontario - Total,Skilled Worker,2015-Q1,2015,2015-Q1,105.0,Provincial
Ontario - Total,Entrepreneur,2015-Q1,2015,2015-Q1,0.0,Provincial
Ontario - Total,Self-Employed,2015-Q1,2015,2015-Q1,0.0,Provincial
Ontario - Total,Start-up Business,2015-Q1,2015,2015-Q1,0.0,Provincial
Ontario - Total,Provincial Nominee Program,2015-Q1,2015,2015-Q1,2085.0,Provincial
Ontario - Total,Temporary Resident to Permanent Resident Pathway,2015-Q1,2015,2015-Q1,0.0,Provincial
Ontario - Total,Sponsored Children,2015-Q1,2015,2015-Q1,20.0,Provincial
Ontario - Total,Sponsored Extended Family Member,2015-Q1,2015,2015-Q1,,Provincial
Ontario - Total,Sponsored Parent or Grandparent,2015-Q1,2015,2015-Q1,60.0,Provincial
Ontario - Total,Sponsored Spouse or Partner,2015-Q1,2015,2015-Q1,350.0,Provincial
Ontario - Total,Blended Sponsorship Refugee,2015-Q1,2015,2015-Q1,0.0,Provincial
Ontario - Total,Government-Assisted Refugee,2015-Q1,2015,2015-Q1,165.0,Provincial
Ontario - Total,Privately Sponsored Refugee,2015-Q1,2015,2015-Q1,205.0,Provincial
Manitoba - Total,Agri-Food Pilot,2015-Q1,2015,2015-Q1,0.0,Provincial
Manitoba - Total,Canadian Experience,2015-Q1,2015,2015-Q1,60.0,Provincial
Manitoba - Total,Caregiver,2015-Q1,2015,2015-Q1,50.0,Provincial
Manitoba - Total,Federal Economic Mobility Pathways Pilot,2015-Q1,2015,2015-Q1,0.0,Provincial
Manitoba - Total,Rural and Northern Immigration,2015-Q1,2015,2015-Q1,0.0,Provincial
Manitoba - Total,Skilled Trade,2015-Q1,2015,2015-Q1,,Provincial
Manitoba - Total,Skilled Worker,2015-Q1,2015,2015-Q1,145.0,Provincial
Manitoba - Total,Self-Employed,2015-Q1,2015,2015-Q1,0.0,Provincial
Manitoba - Total,Provincial Nominee Program,2015-Q1,2015,2015-Q1,1605.0,Provincial
Manitoba - Total,Temporary Resident to Permanent Resident Pathway,2015-Q1,2015,2015-Q1,0.0,Provincial
Manitoba - Total,Sponsored Children,2015-Q1,2015,2015-Q1,10.0,Provincial
Manitoba - Total,Sponsored Extended Family Member,2015-Q1,2015,2015-Q1,,Provincial
Manitoba - Total,Sponsored Parent or Grandparent,2015-Q1,2015,2015-Q1,35.0,Provincial
Manitoba - Total,Sponsored Spouse or Partner,2015-Q1,2015,2015-Q1,290.0,Provincial
Manitoba - Total,Blended Sponsorship Refugee,2015-Q1,2015,2015-Q1,0.0,Provincial
Manitoba - Total,Government-Assisted Refugee,2015-Q1,2015,2015-Q1,130.0,Provincial
Manitoba - Total,Privately Sponsored Refugee,2015-Q1,2015,2015-Q1,,Provincial
Saskatchewan - Total,Agri-Food Pilot,2015-Q1,2015,2015-Q1,0.0,Provincial
Saskatchewan - Total,Canadian Experience,2015-Q1,2015,2015-Q1,815.0,Provincial
Saskatchewan - Total,Caregiver,2015-Q1,2015,2015-Q1,1135.0,Provincial
Saskatchewan - Total,Federal Economic Mobility Pathways Pilot,2015-Q1,2015,2015-Q1,0.0,Provincial
Saskatchewan - Total,Rural and Northern Immigration,2015-Q1,2015,2015-Q1,0.0,Provincial
Saskatchewan - Total,Skilled Trade,2015-Q1,2015,2015-Q1,55.0,Provincial
Saskatchewan - Total,Skilled Worker,2015-Q1,2015,2015-Q1,1390.0,Provincial
Saskatchewan - Total,Entrepreneur,2015-Q1,2015,2015-Q1,0.0,Provincial
Saskatchewan - Total,Investor,2015-Q1,2015,2015-Q1,,Provincial
Saskatchewan - Total,Self-Employed,2015-Q1,2015,2015-Q1,,Provincial
Saskatchewan - Total,Start-up Business,2015-Q1,2015,2015-Q1,0.0,Provincial
Saskatchewan - Total,Provincial Nominee Program,2015-Q1,2015,2015-Q1,2115.0,Provincial
Saskatchewan - Total,Temporary Resident to Permanent Resident Pathway,2015-Q1,2015,2015-Q1,0.0,Provincial
Saskatchewan - Total,Sponsored Children,2015-Q1,2015,2015-Q1,75.0,Provincial
Saskatchewan - Total,Sponsored Extended Family Member,2015-Q1,2015,2015-Q1,15.0,Provincial
Saskatchewan - Total,Sponsored Parent or Grandparent,2015-Q1,2015,2015-Q1,360.0,Provincial
Saskatchewan - Total,Sponsored Spouse or Partner,2015-Q1,2015,2015-Q1,1560.0,Provincial
Saskatchewan - Total,Blended Sponsorship Refugee,2015-Q1,2015,2015-Q1,0.0,Provincial
Saskatchewan - Total,Government-Assisted Refugee,2015-Q1,2015,2015-Q1,185.0,Provincial
Saskatchewan - Total,Privately Sponsored Refugee,2015-Q1,2015,2015-Q1,125.0,Provincial
Alberta - Total,Agri-Food Pilot,2015-Q1,2015,2015-Q1,0.0,Provincial
Alberta - Total,Canadian Experience,2015-Q1,2015,2015-Q1,455.0,Provincial
Alberta - Total,Caregiver,2015-Q1,2015,2015-Q1,1170.0,Provincial
Alberta - Total,Federal Economic Mobility Pathways Pilot,2015-Q1,2015,2015-Q1,0.0,Provincial
Alberta - Total,Rural and Northern Immigration,2015-Q1,2015,2015-Q1,0.0,Provincial
Alberta - Total,Skilled Trade,2015-Q1,2015,2015-Q1,5.0,Provincial
Alberta - Total,Skilled Worker,2015-Q1,2015,2015-Q1,1160.0,Provincial
Alberta - Total,Entrepreneur,2015-Q1,2015,2015-Q1,0.0,Provincial
Alberta - Total,Investor,2015-Q1,2015,2015-Q1,85.0,Provincial
Alberta - Total,Self-Employed,2015-Q1,2015,2015-Q1,25.0,Provincial
Alberta - Total,Start-up Business,2015-Q1,2015,2015-Q1,0.0,Provincial
Alberta - Total,Provincial Nominee Program,2015-Q1,2015,2015-Q1,1185.0,Provincial
Alberta - Total,Temporary Resident to Permanent Resident Pathway,2015-Q1,2015,2015-Q1,0.0,Provincial
Alberta - Total,Sponsored Children,2015-Q1,2015,2015-Q1,70.0,Provincial
Alberta - Total,Sponsored Extended Family Member,2015-Q1,2015,2015-Q1,5.0,Provincial
Alberta - Total,Sponsored Parent or Grandparent,2015-Q1,2015,2015-Q1,550.0,Provincial
Alberta - Total,Sponsored Spouse or Partner,2015-Q1,2015,2015-Q1,1700.0,Provincial
Alberta - Total,Blended Sponsorship Refugee,2015-Q1,2015,2015-Q1,5.0,Provincial
Alberta - Total,Government-Assisted Refugee,2015-Q1,2015,2015-Q1,120.0,Provincial
Alberta - Total,Privately Sponsored Refugee,2015-Q1,2015,2015-Q1,40.0,Provincial
British Columbia - Total,Canadian Experience,2015-Q1,2015,2015-Q1,0.0,Provincial
British Columbia - Total,Caregiver,2015-Q1,2015,2015-Q1,5.0,Provincial
British Columbia - Total,Skilled Trade,2015-Q1,2015,2015-Q1,0.0,Provincial
British Columbia - Total,Skilled Worker,2015-Q1,2015,2015-Q1,,Provincial
British Columbia - Total,Self-Employed,2015-Q1,2015,2015-Q1,0.0,Provincial
British Columbia - Total,Provincial Nominee Program,2015-Q1,2015,2015-Q1,35.0,Provincial
British Columbia - Total,Temporary Resident to Permanent Resident Pathway,2015-Q1,2015,2015-Q1,0.0,Provincial
British Columbia - Total,Sponsored Children,2015-Q1,2015,2015-Q1,0.0,Provincial
British Columbia - Total,Sponsored Extended Family Member,2015-Q1,2015,2015-Q1,0.0,Provincial
British Columbia - Total,Sponsored Parent or Grandparent,2015-Q1,2015,2015-Q1,,Provincial
British Columbia - Total,Sponsored Spouse or Partner,2015-Q1,2015,2015-Q1,10.0,Provincial
British Columbia - Total,Blended Sponsorship Refugee,2015-Q1,2015,2015-Q1,0.0,Provincial
British Columbia - Total,Privately Sponsored Refugee,2015-Q1,2015,2015-Q1,0.0,Provincial
Yukon - Total,Canadian Experience,2015-Q1,2015,2015-Q1,,Provincial
Yukon - Total,Caregiver,2015-Q1,2015,2015-Q1,10.0,Provincial
Yukon - Total,Skilled Trade,2015-Q1,2015,2015-Q1,0.0,Provincial
Yukon - Total,Skilled Worker,2015-Q1,2015,2015-Q1,0.0,Provincial
Yukon - Total,Provincial Nominee Program,2015-Q1,2015,2015-Q1,10.0,Provincial
Yukon - Total,Temporary Resident to Permanent Resident Pathway,2015-Q1,2015,2015-Q1,0.0,Provincial
Yukon - Total,Sponsored Children,2015-Q1,2015,2015-Q1,0.0,Provincial
Yukon - Total,Sponsored Extended Family Member,2015-Q1,2015,2015-Q1,0.0,Provincial
Yukon - Total,Sponsored Parent or Grandparent,2015-Q1,2015,2015-Q1,,Provincial
Yukon - Total,Sponsored Spouse or Partner,2015-Q1,2015,2015-Q1,5.0,Provincial
Yukon - Total,Blended Sponsorship Refugee,2015-Q1,2015,2015-Q1,0.0,Provincial
Yukon - Total,Privately Sponsored Refugee,2015-Q1,2015,2015-Q1,0.0,Provincial
Northwest Territories - Total,Canadian Experience,2015-Q1,2015,2015-Q1,,Provincial
Northwest Territories - Total,Caregiver,2015-Q1,2015,2015-Q1,,Provincial
Northwest Territories - Total,Skilled Trade,2015-Q1,2015,2015-Q1,0.0,Provincial
Northwest Territories - Total,Skilled Worker,2015-Q1,2015,2015-Q1,0.0,Provincial
Northwest Territories - Total,Temporary Resident to Permanent Resident Pathway,2015-Q1,2015,2015-Q1,0.0,Provincial
Northwest Territories - Total,Sponsored Children,2015-Q1,2015,2015-Q1,0.0,Provincial
Northwest Territories - Total,Sponsored Extended Family Member,2015-Q1,2015,2015-Q1,0.0,Provincial
Northwest Territories - Total,Sponsored Parent or Grandparent,2015-Q1,2015,2015-Q1,0.0,Provincial
Northwest Territories - Total,Sponsored Spouse or Partner,2015-Q1,2015,2015-Q1,,Provincial
Northwest Territories - Total,Privately Sponsored Refugee,2015-Q1,2015,2015-Q1,0.0,Provincial
,Agri-Food Pilot,2015-Q2,2015,2015-Q2,0.0,Unknown
,Atlantic Immigration Pilot Programs,2015-Q2,2015,2015-Q2,0.0,Unknown
,Atlantic Immigration Programs,2015-Q2,2015,2015-Q2,0.0,Unknown
,Canadian Experience,2015-Q2,2015,2015-Q2,,Unknown
,Caregiver,2015-Q2,2015,2015-Q2,5.0,Unknown
,Federal Economic Mobility Pathways Pilot,2015-Q2,2015,2015-Q2,0.0,Unknown
,Skilled Trade,2015-Q2,2015,2015-Q2,0.0,Unknown
,Skilled Worker,2015-Q2,2015,2015-Q2,20.0,Unknown
,Self-Employed,2015-Q2,2015,2015-Q2,0.0,Unknown
,Start-up Business,2015-Q2,2015,2015-Q2,0.0,Unknown
,Provincial Nominee Program,2015-Q2,2015,2015-Q2,180.0,Unknown
,Temporary Resident to Permanent Resident Pathway,2015-Q2,2015,2015-Q2,0.0,Unknown
,Sponsored Children,2015-Q2,2015,2015-Q2,,Unknown
,Sponsored Extended Family Member,2015-Q2,2015,2015-Q2,0.0,Unknown
,Sponsored Parent or Grandparent,2015-Q2,2015,2015-Q2,,Unknown
,Sponsored Spouse or Partner,2015-Q2,2015,2015-Q2,25.0,Unknown
,Blended Sponsorship Refugee,2015-Q2,2015,2015-Q2,0.0,Unknown
,Government-Assisted Refugee,2015-Q2,2015,2015-Q2,35.0,Unknown
,Privately Sponsored Refugee,2015-Q2,2015,2015-Q2,0.0,Unknown
Newfoundland and Labrador - Total,Agri-Food Pilot,2015-Q2,2015,2015-Q2,0.0,Provincial
Newfoundland and Labrador - Total,Atlantic Immigration Pilot Programs,2015-Q2,2015,2015-Q2,0.0,Provincial
Newfoundland and Labrador - Total,Atlantic Immigration Programs,2015-Q2,2015,2015-Q2,0.0,Provincial
Newfoundland and Labrador - Total,Canadian Experience,2015-Q2,2015,2015-Q2,,Provincial
Newfoundland and Labrador - Total,Caregiver,2015-Q2,2015,2015-Q2,0.0,Provincial
Newfoundland and Labrador - Total,Federal Economic Mobility Pathways Pilot,2015-Q2,2015,2015-Q2,0.0,Provincial
Newfoundland and Labrador - Total,Skilled Trade,2015-Q2,2015,2015-Q2,0.0,Provincial
Newfoundland and Labrador - Total,Skilled Worker,2015-Q2,2015,2015-Q2,25.0,Provincial
Newfoundland and Labrador - Total,Self-Employed,2015-Q2,2015,2015-Q2,,Provincial
Newfoundland and Labrador - Total,Start-up Business,2015-Q2,2015,2015-Q2,0.0,Provincial
Newfoundland and Labrador - Total,Provincial Nominee Program,2015-Q2,2015,2015-Q2,230.0,Provincial
Newfoundland and Labrador - Total,Temporary Resident to Permanent Resident Pathway,2015-Q2,2015,2015-Q2,0.0,Provincial
Newfoundland and Labrador - Total,Sponsored Children,2015-Q2,2015,2015-Q2,0.0,Provincial
Newfoundland and Labrador - Total,Sponsored Extended Family Member,2015-Q2,2015,2015-Q2,0.0,Provincial
Newfoundland and Labrador - Total,Sponsored Parent or Grandparent,2015-Q2,2015,2015-Q2,0.0,Provincial
Newfoundland and Labrador - Total,Sponsored Spouse or Partner,2015-Q2,2015,2015-Q2,30.0,Provincial
Newfoundland and Labrador - Total,Blended Sponsorship Refugee,2015-Q2,2015,2015-Q2,,Provincial
Newfoundland and Labrador - Total,Government-Assisted Refugee,2015-Q2,2015,2015-Q2,,Provincial
Newfoundland and Labrador - Total,Privately Sponsored Refugee,2015-Q2,2015,2015-Q2,0.0,Provincial
Prince Edward Island - Total,Agri-Food Pilot,2015-Q2,2015,2015-Q2,0.0,Provincial
Prince Edward Island - Total,Atlantic Immigration Pilot Programs,2015-Q2,2015,2015-Q2,0.0,Provincial
Prince Edward Island - Total,Atlantic Immigration Programs,2015-Q2,2015,2015-Q2,0.0,Provincial
Prince Edward Island - Total,Canadian Experience,2015-Q2,2015,2015-Q2,55.0,Provincial
Prince Edward Island - Total,Caregiver,2015-Q2,2015,2015-Q2,30.0,Provincial
Prince Edward Island - Total,Federal Economic Mobility Pathways Pilot,2015-Q2,2015,2015-Q2,0.0,Provincial
Prince Edward Island - Total,Rural and Northern Immigration,2015-Q2,2015,2015-Q2,0.0,Provincial
Prince Edward Island - Total,Skilled Trade,2015-Q2,2015,2015-Q2,,Provincial
Prince Edward Island - Total,Skilled Worker,2015-Q2,2015,2015-Q2,185.0,Provincial
Prince Edward Island - Total,Self-Employed,2015-Q2,2015,2015-Q2,5.0,Provincial
Prince Edward Island - Total,Start-up Business,2015-Q2,2015,2015-Q2,0.0,Provincial
Prince Edward Island - Total,Provincial Nominee Program,2015-Q2,2015,2015-Q2,340.0,Provincial
Prince Edward Island - Total,Temporary Resident to Permanent Resident Pathway,2015-Q2,2015,2015-Q2,0.0,Provincial
Prince Edward Island - Total,Sponsored Children,2015-Q2,2015,2015-Q2,,Provincial
Prince Edward Island - Total,Sponsored Extended Family Member,2015-Q2,2015,2015-Q2,0.0,Provincial
Prince Edward Island - Total,Sponsored Parent or Grandparent,2015-Q2,2015,2015-Q2,15.0,Provincial
Prince Edward Island - Total,Sponsored Spouse or Partner,2015-Q2,2015,2015-Q2,110.0,Provincial
Prince Edward Island - Total,Blended Sponsorship Refugee,2015-Q2,2015,2015-Q2,,Provincial
Prince Edward Island - Total,Government-Assisted Refugee,2015-Q2,2015,2015-Q2,65.0,Provincial
Prince Edward Island - Total,Privately Sponsored Refugee,2015-Q2,2015,2015-Q2,5.0,Provincial
Nova Scotia - Total,Agri-Food Pilot,2015-Q2,2015,2015-Q2,0.0,Provincial
Nova Scotia - Total,Atlantic Immigration Pilot Programs,2015-Q2,2015,2015-Q2,0.0,Provincial
Nova Scotia - Total,Atlantic Immigration Programs,2015-Q2,2015,2015-Q2,0.0,Provincial
Nova Scotia - Total,Canadian Experience,2015-Q2,2015,2015-Q2,15.0,Provincial
Nova Scotia - Total,Caregiver,2015-Q2,2015,2015-Q2,25.0,Provincial
Nova Scotia - Total,Federal Economic Mobility Pathways Pilot,2015-Q2,2015,2015-Q2,0.0,Provincial
Nova Scotia - Total,Rural and Northern Immigration,2015-Q2,2015,2015-Q2,0.0,Provincial
Nova Scotia - Total,Skilled Trade,2015-Q2,2015,2015-Q2,0.0,Provincial
Nova Scotia - Total,Skilled Worker,2015-Q2,2015,2015-Q2,45.0,Provincial
Nova Scotia - Total,Self-Employed,2015-Q2,2015,2015-Q2,0.0,Provincial
Nova Scotia - Total,Start-up Business,2015-Q2,2015,2015-Q2,0.0,Provincial
Nova Scotia - Total,Provincial Nominee Program,2015-Q2,2015,2015-Q2,385.0,Provincial
Nova Scotia - Total,Temporary Resident to Permanent Resident Pathway,2015-Q2,2015,2015-Q2,0.0,Provincial
Nova Scotia - Total,Sponsored Children,2015-Q2,2015,2015-Q2,,Provincial
Nova Scotia - Total,Sponsored Extended Family Member,2015-Q2,2015,2015-Q2,,Provincial
Nova Scotia - Total,Sponsored Parent or Grandparent,2015-Q2,2015,2015-Q2,,Provincial
Nova Scotia - Total,Sponsored Spouse or Partner,2015-Q2,2015,2015-Q2,60.0,Provincial
Nova Scotia - Total,Blended Sponsorship Refugee,2015-Q2,2015,2015-Q2,0.0,Provincial
